"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02199V02655","Sex","C04283V05060","Education Attainment Level","C02076V02508","Age Group","UNIT","VALUE"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","-","All ages","%","74.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","365","20 - 24 years","%","64"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","410","25 - 29 years","%","80.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","4251","25 - 54 years","%","80.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","440","30 - 34 years","%","81.4"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","460","35 - 39 years","%","81.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","475","40 - 44 years","%","81.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","495","45 - 49 years","%","79.3"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","515","50 - 54 years","%","75.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","530","55 - 59 years","%","68.7"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","-","Levels of Education (Levels  0-8)","550","60 - 64 years","%","53"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","-","All ages","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","410","25 - 29 years","%",""
